Timestamp,estimated-transaction-volume
01-05-2019,165968.20904864
02-05-2019,141756.46731359
03-05-2019,152155.69727802
04-05-2019,86099.09944354
05-05-2019,77965.42179354
06-05-2019,136084.31914974
07-05-2019,177595.02173519
08-05-2019,176155.15643804
09-05-2019,207195.23965151
10-05-2019,204122.52050466
11-05-2019,131579.59075195
12-05-2019,145438.0418869
13-05-2019,223891.29695608
14-05-2019,207249.61702275
15-05-2019,198020.70360707
16-05-2019,212667.91607553
17-05-2019,178012.62702182
18-05-2019,94112.09670733
19-05-2019,97929.59368752
20-05-2019,142564.69632917
21-05-2019,127163.16532029
22-05-2019,142645.2229288
23-05-2019,153387.20490157
24-05-2019,161582.37176421
25-05-2019,68559.2342818
26-05-2019,103884.82231737
27-05-2019,150159.16242456
28-05-2019,168755.86945749
29-05-2019,315186.74668934
30-05-2019,151039.50756141
31-05-2019,256927.39166215
01-06-2019,111143.32268286
02-06-2019,76147.93375401
03-06-2019,163380.92950551
04-06-2019,280734.76665631
05-06-2019,329505.52888252
06-06-2019,261382.74060314
07-06-2019,138819.19394379
08-06-2019,67690.31198778
09-06-2019,55152.80891829
10-06-2019,130919.99332201
11-06-2019,203128.84685827
12-06-2019,144661.68561544
13-06-2019,138909.66276668
14-06-2019,151891.12856215
15-06-2019,98043.75527352
16-06-2019,113396.71107492
17-06-2019,320982.86826084
18-06-2019,238369.90719065
19-06-2019,208482.6618047
20-06-2019,127131.75403832
21-06-2019,156106.11103235
22-06-2019,206502.29719857
23-06-2019,110002.63427396
24-06-2019,162159.63476205
25-06-2019,161777.74583259
26-06-2019,228840.55967813
27-06-2019,211110.09651234
28-06-2019,226300.96991682
29-06-2019,114078.18722651
30-06-2019,144280.39810608
01-07-2019,153689.38078411
02-07-2019,176786.25751301
03-07-2019,143285.34861009
04-07-2019,163556.80170562
05-07-2019,105632.21738343
06-07-2019,55943.183519
07-07-2019,49707.10229555
08-07-2019,178285.65970499
09-07-2019,142200.02301502
10-07-2019,247870.63610733
11-07-2019,164618.64468011
12-07-2019,136072.780861
13-07-2019,61473.35409974
14-07-2019,81605.58819967
15-07-2019,118808.63552583
16-07-2019,152283.20396005
17-07-2019,197448.91458647
18-07-2019,134969.50013804
19-07-2019,203214.62488011
20-07-2019,78195.59407448
21-07-2019,64623.49481485
22-07-2019,98420.7729356
23-07-2019,94114.7613971
24-07-2019,137938.11065788
25-07-2019,103139.46051178
26-07-2019,101682.87454626
27-07-2019,60569.11630781
28-07-2019,39980.13709298
29-07-2019,431372.55005164
30-07-2019,134472.21660018
31-07-2019,104580.96145665
01-08-2019,105522.55330568
02-08-2019,121684.02045479
03-08-2019,49489.70569195
04-08-2019,54017.38165939
05-08-2019,152337.50383496
06-08-2019,154262.81420021
07-08-2019,130654.66795797
08-08-2019,119573.43727506
09-08-2019,120469.44985308
10-08-2019,68724.58412031
11-08-2019,50796.55118959
12-08-2019,113315.79174636
13-08-2019,148749.23681749
14-08-2019,126125.34276119
15-08-2019,157860.18002437
16-08-2019,105081.5613896
17-08-2019,147722.16904275
18-08-2019,90060.97033327
19-08-2019,96302.95965429
20-08-2019,113518.15783384
21-08-2019,106552.20512971
22-08-2019,94762.68008428
23-08-2019,209079.16498869
24-08-2019,58386.24790729
25-08-2019,57066.31540907
26-08-2019,126638.96579396
27-08-2019,127327.35488588
28-08-2019,105266.80948769
29-08-2019,176280.1586743
30-08-2019,138932.17364234
31-08-2019,55968.09335583
01-09-2019,54896.04024898
02-09-2019,120127.94734017
03-09-2019,140950.00361835
04-09-2019,128396.25234277
05-09-2019,161404.61297247
06-09-2019,260694.71789146
07-09-2019,88560.98318333
08-09-2019,69901.47325902
09-09-2019,119745.22620632
10-09-2019,191560.24628716
11-09-2019,141835.54035998
12-09-2019,178043.4328582
13-09-2019,89784.05693162
14-09-2019,53218.43513238
15-09-2019,45041.39451513
16-09-2019,148816.44913063
17-09-2019,138304.55309817
18-09-2019,186166.19459585
19-09-2019,126927.77220945
20-09-2019,172299.50629295
21-09-2019,128983.64546895
22-09-2019,55400.40252944
23-09-2019,86663.67963059
24-09-2019,339444.10141853
25-09-2019,247243.43303523
