Timestamp,market-price
01/05/2019,5269.79
02/05/2019,5326.67
03/05/2019,5390.16
04/05/2019,5657.14
05/05/2019,5771.08
06/05/2019,5717.66
07/05/2019,5684.47
08/05/2019,5755.72
09/05/2019,5936.72
10/05/2019,6146.91
11/05/2019,6348.02
12/05/2019,7248.31
13/05/2019,6978.63
14/05/2019,7823.11
15/05/2019,7992.69
16/05/2019,8206.9
17/05/2019,7885.96
18/05/2019,7362.22
19/05/2019,7265.05
20/05/2019,8193.7
21/05/2019,8007.03
22/05/2019,7952.5
23/05/2019,7625.93
24/05/2019,7880.29
25/05/2019,8003.26
26/05/2019,8071.45
27/05/2019,8744.42
28/05/2019,8770.06
29/05/2019,8719.88
30/05/2019,8662.98
31/05/2019,8272.46
01/06/2019,8553.81
02/06/2019,8554.8
03/06/2019,8739.03
04/06/2019,8134.92
05/06/2019,7675.8
06/06/2019,7786.04
07/06/2019,7803.23
08/06/2019,7998.29
09/06/2019,7931.34
10/06/2019,7640.61
11/06/2019,8020.38
12/06/2019,7917.58
13/06/2019,8173.06
14/06/2019,8237.88
15/06/2019,8693.6
16/06/2019,8859.47
17/06/2019,8978.99
18/06/2019,9327.48
19/06/2019,9076.18
20/06/2019,9281.7
21/06/2019,9531.35
22/06/2019,10209.38
23/06/2019,10668.63
24/06/2019,10814.48
25/06/2019,11017.5
26/06/2019,11766.4
27/06/2019,12932.55
28/06/2019,11132.85
29/06/2019,12374.35
30/06/2019,11890.38
01/07/2019,10737.73
02/07/2019,10578.72
03/07/2019,10805.4
04/07/2019,11984.76
05/07/2019,11160.49
06/07/2019,10955.16
07/07/2019,11232.04
08/07/2019,11477.01
09/07/2019,12313.08
10/07/2019,12586.78
11/07/2019,12099.9
12/07/2019,11352.87
13/07/2019,11803.97
14/07/2019,11389.1
15/07/2019,10186.96
16/07/2019,10873.5
17/07/2019,9397.72
18/07/2019,9674.28
19/07/2019,10638.56
20/07/2019,10535.75
21/07/2019,10764.9
22/07/2019,10587.41
23/07/2019,10323.62
24/07/2019,9844.3
25/07/2019,9772.17
26/07/2019,9875.17
27/07/2019,9848.65
28/07/2019,9473.99
29/07/2019,9530
30/07/2019,9501.33
31/07/2019,9589.13
01/08/2019,10084.7
02/08/2019,10407.17
03/08/2019,10529.55
04/08/2019,10814.57
05/08/2019,10980.23
06/08/2019,11787.99
07/08/2019,11465.67
08/08/2019,11960.82
09/08/2019,11996.41
10/08/2019,11856.64
11/08/2019,11282.22
12/08/2019,11566.84
13/08/2019,11386.26
14/08/2019,10858.12
15/08/2019,10016.96
16/08/2019,10302.17
17/08/2019,10359.44
18/08/2019,10214.52
19/08/2019,10317.6
20/08/2019,10917.26
21/08/2019,10760.56
22/08/2019,10129.4
23/08/2019,10111.98
24/08/2019,10405.81
25/08/2019,10143.8
26/08/2019,10135.06
27/08/2019,10360.28
28/08/2019,10171.95
29/08/2019,9717.82
30/08/2019,9484.55
31/08/2019,9577.99
01/09/2019,9600.9
02/09/2019,9769.79
03/09/2019,10386.64
04/09/2019,10621.29
05/09/2019,10584.16
06/09/2019,10577.8
07/09/2019,10317.47
08/09/2019,10487.21
09/09/2019,10406.31
10/09/2019,10313.66
11/09/2019,10101.03
12/09/2019,10159.32
13/09/2019,10420.16
14/09/2019,10363.9
15/09/2019,10361.33
16/09/2019,10310.43
17/09/2019,10265.63
18/09/2019,10190.36
19/09/2019,10157.59
20/09/2019,10275.88
