Timestamp,n-transactions-total
01/05/2019,408194316
02/05/2019,408634126
03/05/2019,409086890
04/05/2019,409467939
05/05/2019,409824838
06/05/2019,410155190
07/05/2019,410533718
08/05/2019,410864056
09/05/2019,411258260
10/05/2019,411619340
11/05/2019,411941911
12/05/2019,412286381
13/05/2019,412624734
14/05/2019,413015860
15/05/2019,413382888
16/05/2019,413750644
17/05/2019,414127769
18/05/2019,414488098
19/05/2019,414847973
20/05/2019,415195412
21/05/2019,415576997
22/05/2019,415958184
23/05/2019,416352878
24/05/2019,416740497
25/05/2019,417115354
26/05/2019,417454209
27/05/2019,417828470
28/05/2019,418228062
29/05/2019,418618100
30/05/2019,419023424
31/05/2019,419400188
01/06/2019,419699192
02/06/2019,420031549
03/06/2019,420332734
04/06/2019,420626651
05/06/2019,421000986
06/06/2019,421374564
07/06/2019,421737471
08/06/2019,422089046
09/06/2019,422381534
10/06/2019,422684411
11/06/2019,423036883
12/06/2019,423377718
13/06/2019,423706779
14/06/2019,424070887
15/06/2019,424435522
16/06/2019,424766007
17/06/2019,425060575
18/06/2019,425381442
19/06/2019,425778098
20/06/2019,426177973
21/06/2019,426507765
22/06/2019,426847029
23/06/2019,427200304
24/06/2019,427579844
25/06/2019,427968264
26/06/2019,428329462
27/06/2019,428729222
28/06/2019,429091367
29/06/2019,429496915
30/06/2019,429854710
01/07/2019,430185169
02/07/2019,430521030
03/07/2019,430894074
04/07/2019,431292036
05/07/2019,431664224
06/07/2019,432041973
07/07/2019,432390866
08/07/2019,432704487
09/07/2019,433083366
10/07/2019,433448280
11/07/2019,433764593
12/07/2019,434090079
13/07/2019,434451463
14/07/2019,434756170
15/07/2019,435059067
16/07/2019,435408176
17/07/2019,435772362
18/07/2019,436096727
19/07/2019,436412702
20/07/2019,436711204
21/07/2019,437033906
22/07/2019,437318209
23/07/2019,437638264
24/07/2019,437958818
25/07/2019,438254188
26/07/2019,438590698
27/07/2019,438910919
28/07/2019,439194279
29/07/2019,439466726
30/07/2019,439801073
31/07/2019,440128033
01/08/2019,440490153
02/08/2019,440825797
03/08/2019,441175911
04/08/2019,441501346
05/08/2019,441802055
06/08/2019,442141959
07/08/2019,442510468
08/08/2019,442880797
09/08/2019,443217329
10/08/2019,443556992
11/08/2019,443862827
12/08/2019,444135872
13/08/2019,444432743
14/08/2019,444803906
15/08/2019,445163316
16/08/2019,445518540
17/08/2019,445843302
18/08/2019,446132072
19/08/2019,446408235
20/08/2019,446738249
21/08/2019,447071062
22/08/2019,447379651
23/08/2019,447702294
24/08/2019,448041779
25/08/2019,448346130
26/08/2019,448636850
27/08/2019,448954800
28/08/2019,449280974
29/08/2019,449621620
30/08/2019,449967021
31/08/2019,450318258
01/09/2019,450660388
02/09/2019,450945001
03/09/2019,451273278
04/09/2019,451644190
05/09/2019,451968086
06/09/2019,452321086
07/09/2019,452685067
08/09/2019,453000698
09/09/2019,453288908
10/09/2019,453605463
11/09/2019,453945245
12/09/2019,454282442
13/09/2019,454620184
14/09/2019,454927556
15/09/2019,455227200
16/09/2019,455502894
17/09/2019,455850312
18/09/2019,456194307
19/09/2019,456557411
20/09/2019,456902222
21/09/2019,457244415
22/09/2019,457580421
23/09/2019,457899079
24/09/2019,458186764
25/09/2019,458540193
26/09/2019,458888070
27/09/2019,459242846
28/09/2019,459546722
29/09/2019,459862484
30/09/2019,460148268
01/10/2019,460459430
02/10/2019,460795585
03/10/2019,461123521
04/10/2019,461449958
05/10/2019,461787146
06/10/2019,462112762
07/10/2019,462388900
08/10/2019,462720402
09/10/2019,463055305
10/10/2019,463367125
11/10/2019,463712218
12/10/2019,464057966
13/10/2019,464359792
14/10/2019,464639375
15/10/2019,464942535
16/10/2019,465283607
17/10/2019,465620843
18/10/2019,465955188
19/10/2019,466295480
20/10/2019,466599919
21/10/2019,466888778
22/10/2019,467241350
23/10/2019,467582972
24/10/2019,467930293
25/10/2019,468235588
26/10/2019,468564513
27/10/2019,468869146
28/10/2019,469436000
29/10/2019,469743704
30/10/2019,470055810
31/10/2019,470352372
01/11/2019,470668291
02/11/2019,470953049
03/11/2019,471247114
04/11/2019,471557178
05/11/2019,471890825
06/11/2019,472205363
07/11/2019,472529824
08/11/2019,472841904
09/11/2019,473147926
10/11/2019,473447762
11/11/2019,473774076
12/11/2019,474075257
13/11/2019,474394716
14/11/2019,474744608
15/11/2019,475069560
16/11/2019,475351799
17/11/2019,475617345
18/11/2019,475922138
19/11/2019,476249278
20/11/2019,476570762
21/11/2019,476895056
22/11/2019,477205374
23/11/2019,477512144
24/11/2019,477778804
25/11/2019,478058698
26/11/2019,478379400
27/11/2019,478697560
28/11/2019,479007302
29/11/2019,479318299
30/11/2019,479596328
01/12/2019,479870557
02/12/2019,480184674
03/12/2019,480521478
04/12/2019,480858483
05/12/2019,481170589
06/12/2019,481485208
07/12/2019,481769625
08/12/2019,482048438
09/12/2019,482362284
10/12/2019,482683490
11/12/2019,482975074
12/12/2019,483286837
13/12/2019,483610063
14/12/2019,483903832
15/12/2019,484164768
16/12/2019,484492834
17/12/2019,484811929
18/12/2019,485126046
19/12/2019,485446496
20/12/2019,485778828
21/12/2019,486089966
22/12/2019,486369815
23/12/2019,486676926
24/12/2019,486966963
25/12/2019,487209890
26/12/2019,487507795
27/12/2019,487830144
28/12/2019,488128275
29/12/2019,488408114
30/12/2019,488732395
31/12/2019,489025448
01/01/2020,489274895
02/01/2020,489572666
03/01/2020,489888451
04/01/2020,490176938
05/01/2020,490463583
06/01/2020,490763687
07/01/2020,491108037
08/01/2020,491424508
09/01/2020,491747586
10/01/2020,492078809
11/01/2020,492387530
12/01/2020,492670037
13/01/2020,492962592
14/01/2020,493308752
15/01/2020,493641700
16/01/2020,493967843
17/01/2020,494291808
18/01/2020,494578989
19/01/2020,494863133
20/01/2020,495177200
21/01/2020,495491741
22/01/2020,495819165
23/01/2020,496150716
24/01/2020,496464704
25/01/2020,496750535
26/01/2020,497010617
27/01/2020,497290934
28/01/2020,497630786
29/01/2020,497970930
30/01/2020,498303172
31/01/2020,498638286
01/02/2020,498940710
02/02/2020,499232868
03/02/2020,499563560
04/02/2020,499873273
05/02/2020,500241185
06/02/2020,500557417
07/02/2020,500892017
08/02/2020,501209769
09/02/2020,501527013
10/02/2020,501824989
11/02/2020,502190188
12/02/2020,502535380
13/02/2020,502875969
14/02/2020,503201729
15/02/2020,503524815
16/02/2020,503817075
17/02/2020,504157787
18/02/2020,504488695
19/02/2020,504823586
20/02/2020,505139836
21/02/2020,505479288
22/02/2020,505782693
23/02/2020,506069685
24/02/2020,506397763
25/02/2020,506732798
26/02/2020,507063001
27/02/2020,507401128
28/02/2020,507768799
29/02/2020,508077532
01/03/2020,508387735
02/03/2020,508730234
03/03/2020,509072924
04/03/2020,509429241
05/03/2020,509780991
06/03/2020,510117441
07/03/2020,510432934
08/03/2020,510735601
09/03/2020,511082885
10/03/2020,511412827
11/03/2020,511700965
12/03/2020,512050024
13/03/2020,512327013
14/03/2020,512605951
15/03/2020,512829909
16/03/2020,513100181
17/03/2020,513378835
18/03/2020,513610484
19/03/2020,513876174
20/03/2020,514160096
21/03/2020,514406387
22/03/2020,514615625
23/03/2020,514875254
24/03/2020,515152035
25/03/2020,515371224
26/03/2020,515664266
27/03/2020,515939228
28/03/2020,516180375
30/03/2020,516413141
31/03/2020,516690787
01/04/2020,516981158
