Timestamp,n-transactions
01/05/2019,439549
02/05/2019,452646
03/05/2019,383032
04/05/2019,355910
05/05/2019,330732
06/05/2019,378476
07/05/2019,329943
08/05/2019,393081
09/05/2019,361569
10/05/2019,322963
11/05/2019,344957
12/05/2019,338571
13/05/2019,390428
14/05/2019,367370
15/05/2019,368901
16/05/2019,375062
17/05/2019,361654
18/05/2019,359704
19/05/2019,346859
20/05/2019,381582
21/05/2019,380889
22/05/2019,394887
23/05/2019,389343
24/05/2019,373882
25/05/2019,338398
26/05/2019,374072
27/05/2019,399584
28/05/2019,390427
29/05/2019,405155
30/05/2019,376874
31/05/2019,298997
01/06/2019,332092
02/06/2019,301003
03/06/2019,294009
04/06/2019,374763
05/06/2019,372948
06/06/2019,364526
07/06/2019,350011
08/06/2019,294369
09/06/2019,300917
10/06/2019,353629
11/06/2019,340449
12/06/2019,328464
13/06/2019,364373
14/06/2019,364383
15/06/2019,330954
16/06/2019,295254
17/06/2019,321072
18/06/2019,394843
19/06/2019,401032
20/06/2019,330103
21/06/2019,337741
22/06/2019,354075
23/06/2019,380088
24/06/2019,388342
25/06/2019,361385
26/06/2019,399624
27/06/2019,361050
28/06/2019,407094
29/06/2019,356682
30/06/2019,330731
01/07/2019,336862
02/07/2019,373409
03/07/2019,397554
04/07/2019,370704
05/07/2019,378453
06/07/2019,348674
07/07/2019,313273
08/07/2019,378966
09/07/2019,365588
10/07/2019,315664
11/07/2019,325776
12/07/2019,360899
13/07/2019,304545
14/07/2019,303287
15/07/2019,349111
16/07/2019,363337
17/07/2019,324892
18/07/2019,315745
19/07/2019,299891
20/07/2019,323002
21/07/2019,283934
22/07/2019,319399
23/07/2019,320352
24/07/2019,295589
25/07/2019,336536
26/07/2019,319612
27/07/2019,283892
28/07/2019,272974
29/07/2019,333619
30/07/2019,328375
31/07/2019,361337
01/08/2019,335943
02/08/2019,349556
03/08/2019,327588
04/08/2019,298805
05/08/2019,339136
06/08/2019,368348
07/08/2019,370909
08/08/2019,336181
09/08/2019,341125
10/08/2019,304138
11/08/2019,273280
12/08/2019,297446
13/08/2019,370747
14/08/2019,359997
15/08/2019,355644
16/08/2019,323625
17/08/2019,288256
18/08/2019,276365
19/08/2019,330473
20/08/2019,333304
21/08/2019,308808
22/08/2019,322453
23/08/2019,340220
24/08/2019,304481
25/08/2019,288934
26/08/2019,318219
27/08/2019,325984
28/08/2019,341200
29/08/2019,346734
30/08/2019,349200
31/08/2019,342195
01/09/2019,285468
02/09/2019,327248
03/09/2019,370631
04/09/2019,324741
05/09/2019,352410
06/09/2019,365531
07/09/2019,314429
08/09/2019,288507
09/09/2019,316852
10/09/2019,339858
11/09/2019,338276
12/09/2019,335868
13/09/2019,308856
14/09/2019,299894
15/09/2019,274146
16/09/2019,347341
17/09/2019,343778
18/09/2019,363185
19/09/2019,346110
20/09/2019,340929
21/09/2019,336013
22/09/2019,318713
23/09/2019,288149
24/09/2019,353263
25/09/2019,347747
26/09/2019,355775
27/09/2019,303903
28/09/2019,314433
29/09/2019,285542
30/09/2019,311396
01/10/2019,337244
02/10/2019,326557
03/10/2019,326514
04/10/2019,337222
05/10/2019,326683
06/10/2019,277613
07/10/2019,328803
08/10/2019,336354
09/10/2019,311049
10/10/2019,345048
11/10/2019,345425
12/10/2019,301693
13/10/2019,279487
14/10/2019,304466
15/10/2019,339698
16/10/2019,338473
17/10/2019,334105
18/10/2019,339390
19/10/2019,304736
20/10/2019,289796
21/10/2019,351791
22/10/2019,341464
23/10/2019,349320
24/10/2019,303843
25/10/2019,328598
26/10/2019,305722
27/10/2019,256253
28/10/2019,307953
29/10/2019,314163
30/10/2019,293779
31/10/2019,316187
01/11/2019,284443
02/11/2019,294367
03/11/2019,310979
04/11/2019,332839
05/11/2019,314698
06/11/2019,324487
07/11/2019,311441
08/11/2019,306163
09/11/2019,299712
10/11/2019,326707
11/11/2019,301382
12/11/2019,318945
13/11/2019,350023
14/11/2019,325145
15/11/2019,283468
16/11/2019,264370
17/11/2019,304671
18/11/2019,327630
19/11/2019,321086
20/11/2019,323954
21/11/2019,310539
22/11/2019,306424
23/11/2019,267368
24/11/2019,279470
25/11/2019,321310
26/11/2019,317597
27/11/2019,309623
28/11/2019,311290
29/11/2019,277458
30/11/2019,274621
01/12/2019,314730
02/12/2019,336512
03/12/2019,337284
04/12/2019,311468
05/12/2019,315386
06/12/2019,285284
07/12/2019,278853
08/12/2019,313629
09/12/2019,320064
10/12/2019,291248
11/12/2019,311795
12/12/2019,322888
