Timestamp,output-volume;
01/05/2019,1162547.70704421;
02/05/2019,986563.569209106;
03/05/2019,1268003.89154857;
04/05/2019,886545.170964857;
05/05/2019,762735.020365181;
06/05/2019,1160172.84233279;
07/05/2019,1546326.3574282;
08/05/2019,1282820.63528939;
09/05/2019,1257978.33952754;
10/05/2019,1361392.47914309;
11/05/2019,1259759.12746392;
12/05/2019,952163.396669585;
13/05/2019,1678344.65777558;
14/05/2019,1652403.40849971;
15/05/2019,2168606.2635591;
16/05/2019,1438473.30300626;
17/05/2019,1366575.82679672;
18/05/2019,832814.319265813;
19/05/2019,892847.57289151;
20/05/2019,1221183.04796327;
21/05/2019,1069771.09769478;
22/05/2019,1172959.32912099;
23/05/2019,1221496.19922306;
24/05/2019,1371740.90384144;
25/05/2019,793250.920644138;
26/05/2019,850401.163688008;
27/05/2019,1212933.65383591;
28/05/2019,1324503.91397785;
29/05/2019,1426452.61513325;
30/05/2019,1224910.87307838;
31/05/2019,2049565.24236865;
01/06/2019,1199897.73547899;
02/06/2019,1214859.86382018;
03/06/2019,1694243.1572022 2;
04/06/2019,1741205.06778663;
05/06/2019,2003151.56993164;
06/06/2019,2001279.34230516;
07/06/2019,1454553.10102943;
08/06/2019,930930.686008706;
09/06/2019,908019.924559899;
10/06/2019,1458520.17483975;
11/06/2019,2170474.24094804;
12/06/2019,1311285.46207585;
13/06/2019,1228137.02502481;
14/06/2019,1267506.90252897;
15/06/2019,1021072.38987488;
16/06/2019,1355369.53957;
17/06/2019,2711334.49636944;
18/06/2019,2869899.1944481;
19/06/2019,1673182.62682249;
20/06/2019,3394897.6964203;
21/06/2019,1710806.61832957;
22/06/2019,1952259.8368793;
23/06/2019,1002826.7545288;
24/06/2019,1671222.71262808;
25/06/2019,1956241.05807187;
26/06/2019,1866107.77717559;
27/06/2019,1672496.03081643;
28/06/2019,1467631.80564147;
29/06/2019,1379953.57871056;
30/06/2019,1910735.65832321;
01/07/2019,2100556.44406549;
02/07/2019,1470210.48875256;
03/07/2019,1704146.08969035;
04/07/2019,1253929.11629174;
05/07/2019,1564044.98834674;
06/07/2019,705436.446358569;
07/07/2019,718231.205005668;
08/07/2019,2662688.53939029;
09/07/2019,2441777.72698058;
10/07/2019,2302653.81810532;
11/07/2019,2959621.67787676;
12/07/2019,2440280.90560054;
13/07/2019,1572856.63308995;
14/07/2019,1561873.32498153;
15/07/2019,1832527.79176075;
16/07/2019,2459457.74416151;
17/07/2019,1898310.89689274;
18/07/2019,5009356.48131619;
19/07/2019,1313246.94953146;
20/07/2019,892282.930521397;
21/07/2019,1068960.52688826;
22/07/2019,6033168.90500625;
23/07/2019,1208702.39832617;
24/07/2019,1513193.06641193;
25/07/2019,1981281.12609714;
26/07/2019,982757.788617507;
27/07/2019,608913.312598471;
28/07/2019,482695.976665411;
29/07/2019,2627308.14376026;
30/07/2019,2106033.01759415;
31/07/2019,1569708.76631774;
01/08/2019,1006874.12106064;
02/08/2019,783422.60787184;
03/08/2019,555691.180515733;
04/08/2019,571638.807167129;
05/08/2019,2038663.73067686;
06/08/2019,1686026.84972458;
07/08/2019,858648.386490158;
08/08/2019,1444024.17734944;
09/08/2019,1348526.32784251;
10/08/2019,1746348.68292759;
11/08/2019,582409.813571025;
12/08/2019,1110987.90699422;
13/08/2019,1282748.35232522;
14/08/2019,1430779.56397946;
15/08/2019,1502214.00590109;
16/08/2019,989258.217325773;
17/08/2019,1604447.78027742;
18/08/2019,966183.225539812;
19/08/2019,873194.862495244;
20/08/2019,9748625.29732424;
21/08/2019,24528670.3510687;
22/08/2019,1172021 6.2962693;
23/08/2019,680553.064223374;
24/08/2019,453802.651056304;
25/08/2019,589590.440689066;
26/08/2019,1038265.50885259;
27/08/2019,898858.708773689;
28/08/2019,889797.000073285;
29/08/2019,891511.675643195;
30/08/2019,839355.405968025;
31/08/2019,781640.701304001;
01/09/2019,863687.045905098;
02/09/2019,929037.873505404;
03/09/2019,1040522.72962904;
04/09/2019,1208245.68544858;
05/09/2019,1242635.39094575;
06/09/2019,1178701.69383365;
07/09/2019,629500.820114256;
08/09/2019,702260.154571735;
09/09/2019,877297.908776981;
10/09/2019,1221919.55162416;
11/09/2019,1123456.37957047;
12/09/2019,828541.849706542;
13/09/2019,701970.120843471;
14/09/2019,614511.773528669;
15/09/2019,498570.419934237;
16/09/2019,993133.833231407;
17/09/2019,1147350.8940079;
18/09/2019,865403.082340075;
19/09/2019,758179.66775461;
20/09/2019,874080.293790683;
21/09/2019,726562.641094705;
22/09/2019,1711385.00341165;
23/09/2019,1486499.71902562;
24/09/2019,1306425.75673371;
25/09/2019,1647160.69227417;
26/09/2019,1130065.40346932;
27/09/2019,922424.486572073;
28/09/2019,673386.538360677;
29/09/2019,606613.635693071;
30/09/2019,1107464.74721235;
01/10/2019,1158740.01134524;
02/10/2019,845513.50947988;
03/10/2019,807516.389749268;
04/10/2019,720385.077586688;
05/10/2019,499826.823379352;
06/10/2019,535585.68315319;
07/10/2019,698133.060497983;
08/10/2019,853284.326411053;
09/10/2019,890109.379233644;
10/10/2019,809342.551334509;
11/10/2019,748859.345230277;
12/10/2019,477082.626716422;
13/10/2019,421940.207082645;
14/10/2019,821209.414448708;
15/10/2019,746628.717238315;
16/10/2019,1044662.74960641;
17/10/2019,1021589.2507013;
18/10/2019,1021618.23399633;
19/10/2019,847151.669674816;
20/10/2019,749654.197106282;
21/10/2019,898823.600888372;
22/10/2019,1141325.22151377;
23/10/2019,1334525.53652092;
24/10/2019,1000767.06494216;
25/10/2019,1348960.43815855;
26/10/2019,1004810.11591243;
27/10/2019,684000.549624474;
28/10/2019,1501770.91055353;
29/10/2019,2023871.40963542;
30/10/2019,1415879.11847805;
