Timestamp,total-bitcoins
01/05/2019,17674975
02/05/2019,17677662.5
03/05/2019,17680325
04/05/2019,17681675
05/05/2019,17683000
06/05/2019,17685650
07/05/2019,17686975
08/05/2019,17688312.5
09/05/2019,17690975
10/05/2019,17692312.5
11/05/2019,17693637.5
12/05/2019,17696300
13/05/2019,17697675
14/05/2019,17700325
15/05/2019,17701662.5
16/05/2019,17703000
17/05/2019,17705662.5
18/05/2019,17706987.5
19/05/2019,17709637.5
20/05/2019,17710962.5
21/05/2019,17713612.5
22/05/2019,17714937.5
23/05/2019,17717600
24/05/2019,17718925
25/05/2019,17721575
26/05/2019,17722900
27/05/2019,17724225
28/05/2019,17726925
29/05/2019,17729612.5
30/05/2019,17730937.5
31/05/2019,17733587.5
01/06/2019,17734912.5
02/06/2019,17736237.5
03/06/2019,17737575
04/06/2019,17740237.5
05/06/2019,17741562.5
06/06/2019,17744237.5
07/06/2019,17745562.5
08/06/2019,17746912.5
09/06/2019,17749575
10/06/2019,17750900
11/06/2019,17752237.5
12/06/2019,17754887.5
13/06/2019,17756212.5
14/06/2019,17757537.5
15/06/2019,17760200
16/06/2019,17761525
17/06/2019,17764187.5
18/06/2019,17765512.5
19/06/2019,17766837.5
20/06/2019,17769487.5
21/06/2019,17770812.5
22/06/2019,17773462.5
23/06/2019,17774787.5
24/06/2019,17777450
25/06/2019,17778800
26/06/2019,17781450
27/06/2019,17782775
28/06/2019,17785437.5
29/06/2019,17786762.5
30/06/2019,17789425
01/07/2019,17790750
02/07/2019,17793400
03/07/2019,17794725
04/07/2019,17797387.5
05/07/2019,17798712.5
06/07/2019,17801375
07/07/2019,17804025
08/07/2019,17805362.5
09/07/2019,17808050
10/07/2019,17809375
11/07/2019,17812037.5
12/07/2019,17813375
13/07/2019,17814700
14/07/2019,17817350
15/07/2019,17818675
16/07/2019,17820000
17/07/2019,17822675
18/07/2019,17824000
19/07/2019,17825325
20/07/2019,17826650
21/07/2019,17829312.5
22/07/2019,17830637.5
23/07/2019,17833312.5
24/07/2019,17834637.5
25/07/2019,17837300
26/07/2019,17838625
27/07/2019,17841275
28/07/2019,17842600
29/07/2019,17845262.5
30/07/2019,17846600
31/07/2019,17849262.5
01/08/2019,17850587.5
02/08/2019,17851925
03/08/2019,17854575
04/08/2019,17857250
05/08/2019,17858600
06/08/2019,17861262.5
07/08/2019,17862587.5
08/08/2019,17865250
09/08/2019,17866600
10/08/2019,17867925
11/08/2019,17870587.5
12/08/2019,17871912.5
13/08/2019,17873250
14/08/2019,17875937.5
15/08/2019,17877262.5
16/08/2019,17879937.5
17/08/2019,17881287.5
18/08/2019,17882612.5
19/08/2019,17883937.5
20/08/2019,17886612.5
21/08/2019,17887950
22/08/2019,17890612.5
23/08/2019,17891937.5
24/08/2019,17893275
25/08/2019,17895937.5
26/08/2019,17897275
27/08/2019,17899937.5
28/08/2019,17901262.5
29/08/2019,17902587.5
30/08/2019,17905262.5
31/08/2019,17906587.5
01/09/2019,17909250
02/09/2019,17910575
03/09/2019,17913275
04/09/2019,17914600
05/09/2019,17917262.5
06/09/2019,17918587.5
07/09/2019,17921237.5
08/09/2019,17922575
09/09/2019,17925237.5
10/09/2019,17926562.5
11/09/2019,17929237.5
12/09/2019,17930562.5
13/09/2019,17933212.5
14/09/2019,17934537.5
15/09/2019,17937200
16/09/2019,17938550
17/09/2019,17941200
18/09/2019,17942525
19/09/2019,17945187.5
20/09/2019,17946525
21/09/2019,17949175
22/09/2019,17950512.5
23/09/2019,17953162.5
24/09/2019,17954525
25/09/2019,17955850
26/09/2019,17958537.5
27/09/2019,17959862.5
28/09/2019,17961200
29/09/2019,17963850
30/09/2019,17965200
01/10/2019,17966525
02/10/2019,17969187.5
03/10/2019,17970525
04/10/2019,17973175
05/10/2019,17974500
06/10/2019,17975837.5
07/10/2019,17978512.5
08/10/2019,17979837.5
09/10/2019,17982500
10/10/2019,17983837.5
11/10/2019,17986500
12/10/2019,17987837.5
13/10/2019,17989162.5
14/10/2019,17991850
15/10/2019,17993175
16/10/2019,17994512.5
17/10/2019,17997175
18/10/2019,17998525
19/10/2019,18001187.5
20/10/2019,18002525
21/10/2019,18003875
22/10/2019,18006525
23/10/2019,18007850
24/10/2019,18010525
25/10/2019,18011850
26/10/2019,18014500
27/10/2019,18015825
28/10/2019,18017150
29/10/2019,18018475
30/10/2019,18019800
31/10/2019,18022462.5
01/11/2019,18023800
02/11/2019,18025125
03/11/2019,18026462.5
04/11/2019,18029137.5
05/11/2019,18030475
06/11/2019,18031800
07/11/2019,18034450
08/11/2019,18035775
09/11/2019,18037100
10/11/2019,18038425
11/11/2019,18041087.5
12/11/2019,18042412.5
13/11/2019,18045062.5
14/11/2019,18046387.5
15/11/2019,18049062.5
16/11/2019,18050387.5
17/11/2019,18051712.5
18/11/2019,18054362.5
19/11/2019,18055712.5
20/11/2019,18058362.5
21/11/2019,18059700
22/11/2019,18061025
23/11/2019,18062375
24/11/2019,18065037.5
25/11/2019,18066362.5
26/11/2019,18067700
27/11/2019,18070350
28/11/2019,18071687.5
29/11/2019,18073025
30/11/2019,18075725
01/12/2019,18077050
02/12/2019,18078375
03/12/2019,18081025
04/12/2019,18082362.5
05/12/2019,18085012.5
06/12/2019,18086337.5
07/12/2019,18087662.5
08/12/2019,18090337.5
09/12/2019,18091662.5
10/12/2019,18094312.5
11/12/2019,18095637.5
12/12/2019,18096962.5
13/12/2019,18098287.5
14/12/2019,18100950
15/12/2019,18102287.5
16/12/2019,18103612.5
17/12/2019,18106275
18/12/2019,18107600
19/12/2019,18110275
20/12/2019,18111612.5
21/12/2019,18112937.5
22/12/2019,18115587.5
23/12/2019,18118250
24/12/2019,18119575
25/12/2019,18120900
26/12/2019,18122225
27/12/2019,18124912.5
28/12/2019,18126262.5
29/12/2019,18128912.5
30/12/2019,18130237.5
31/12/2019,18132900
01/01/2020,18134237.5
02/01/2020,18136887.5
03/01/2020,18138237.5
04/01/2020,18140887.5
05/01/2020,18142225
06/01/2020,18144887.5
07/01/2020,18146225
08/01/2020,18148875
09/01/2020,18150200
